observation_date,FPCPITOTLZGUSA
1960-01-01,1.457975986277910
1961-01-01,1.070724147647240
1962-01-01,1.198773348201860
1963-01-01,1.239669421487530
1964-01-01,1.278911564625910
1965-01-01,1.585169263836620
1966-01-01,3.015075376884400
1967-01-01,2.772785622593090
1968-01-01,4.271796152885370
1969-01-01,5.462386200287450
1970-01-01,5.838255338482510
1971-01-01,4.292766688130510
1972-01-01,3.272278246552830
1973-01-01,6.177760063770380
1974-01-01,11.054804804804800
1975-01-01,9.143146864965351
1976-01-01,5.744812635490850
1977-01-01,6.501683994728400
1978-01-01,7.630963838856060
1979-01-01,11.254471129279500
1980-01-01,13.549201974968399
1981-01-01,10.334715340277100
1982-01-01,6.131427000274930
1983-01-01,3.212435233160650
1984-01-01,4.300535475234290
1985-01-01,3.545644152093650
1986-01-01,1.898047722342760
1987-01-01,3.664563217516900
1988-01-01,4.077741107444130
1989-01-01,4.827003030089440
1990-01-01,5.397956439903250
1991-01-01,4.234963964538490
1992-01-01,3.028819678149690
1993-01-01,2.951656966385590
1994-01-01,2.607441592154530
1995-01-01,2.805419688536620
1996-01-01,2.931204199934410
1997-01-01,2.337689937307350
1998-01-01,1.552279098743640
1999-01-01,2.188027196973580
2000-01-01,3.376857271499290
2001-01-01,2.826171118854070
2002-01-01,1.586031626506010
2003-01-01,2.270094973361150
2004-01-01,2.677236693091720
2005-01-01,3.392746845495500
2006-01-01,3.225944100704040
2007-01-01,2.852672481501380
2008-01-01,3.839100296651000
2009-01-01,-0.355546266299747
2010-01-01,1.640043442389900
2011-01-01,3.156841568622000
2012-01-01,2.069337265260670
2013-01-01,1.464832655627170
2014-01-01,1.622222977408170
2015-01-01,0.118627135552451
2016-01-01,1.261583205705360
2017-01-01,2.130110003659610
2018-01-01,2.442583296928170
2019-01-01,1.812210075260210
2020-01-01,1.233584396306290
2021-01-01,4.697858863637420
2022-01-01,8.002799820521210
2023-01-01,4.116338383744880
