Year,2022
,
Row Labels,Count of Customer Id
Afghanistan,73
Alejandraville,1
Alyssachester,1
Ayalaland,1
Baldwinfurt,1
Burnettville,1
Chelseaburgh,1
Cohenhaven,1
Dennisland,1
Dennistown,1
Donnachester,1
East Andrewfort,1
East Jennyland,1
East Katrina,1
East Larry,1
East Melvin,1
East Monicatown,1
East Norma,1
East Ruth,1
East Toddside,1
East Tomfort,1
East Wesleyton,1
East Yvette,1
Escobarville,1
Esparzahaven,1
Evanbury,1
Garretthaven,1
Gomezside,1
Gonzalezmouth,1
Haneyfort,1
Henryburgh,1
Henryview,1
Johnathanview,1
Lake Darrenberg,1
Lake Joburgh,1
Lake Madisonhaven,1
Leachhaven,1
New Andrealand,1
New Betty,1
New Chelsea,1
New Dorothy,1
New Jenniferborough,1
Nicholsshire,1
North Anita,1
North Anthonyfort,1
North Arthur,1
North Deanberg,1
North Emma,1
North Nicholas,1
Osbornville,1
Port Anthony,1
Port Bailey,1
Port Charlotteland,1
Port Justinview,1
Port Kerri,1
Port Rickey,1
Robinsonchester,1
Robyntown,1
Sampsonfort,1
Sheahaven,1
Simmonsview,1
Snydershire,1
Sonyamouth,1
South Baileyshire,1
South Carla,1
South Cliffordport,1
Staffordburgh,1
Stoutstad,1
Walterchester,1
West Felicia,1
West Garyview,1
West Ivan,1
West Jasminport,1
West Mandyshire,1
Albania,71
Baileyville,1
Brianamouth,1
Cassandramouth,1
Clairemouth,1
Crystalland,1
Dwayneside,1
East Brady,1
East Cassie,1
East Krista,1
East Rachael,1
Evelynview,1
Henryside,1
Hineshaven,1
Howardberg,1
Irwinside,1
Jermaineberg,1
Joannebury,1
Kaitlynland,1
Kelseyview,1
Knappfurt,1
Lake Alisha,1
Lake Amyshire,1
Lake Cherylburgh,1
Lake Jillmouth,1
Lake Nicolas,1
Lindseybury,1
Mackshire,1
Mathisfort,1
Maxstad,1
Mccormickburgh,1
Moraleston,1
New Ianberg,1
New Jorge,1
New Nancyland,1
Normanbury,1
North Alexistown,1
North Haley,1
North Kerry,1
North Stephenfort,1
Patelport,1
Port Alexandraview,1
Port Ashley,1
Port Brettside,1
Port Carolineview,1
Port Greggview,1
Reevesfort,1
Sarahstad,1
Sheliafort,1
South Christinaport,1
South Francesside,1
South Oscar,1
South Terrance,1
South Walterville,1
South Wayne,1
Tamarabury,1
Traceyburgh,1
Warrenport,1
Washingtontown,1
Watkinsbury,1
West Andre,1
West Audreyton,1
West Candice,1
West Huntershire,1
West Kevinside,1
West Mandy,1
West Marilynmouth,1
West Nicolas,1
West Sarah,1
West Victoria,1
Zacharyfort,1
Zunigaton,1
Algeria,77
Acostaborough,1
Austinstad,1
Beckburgh,1
Bergchester,1
Bishopfurt,1
Burtonhaven,1
Calderonton,1
Cameronfurt,1
Campbellland,1
Cunninghammouth,1
Darylview,1
Davidchester,1
Dillonshire,1
East Meredith,1
East Nicholas,1
Francesview,1
Francisfurt,1
Gibbsberg,1
Grahamfort,1
Huynhfurt,1
Judyfort,1
Katelynhaven,1
Kendraton,1
Kentstad,1
Knappton,1
Knoxfurt,1
Kristintown,1
Lake Barbara,1
Lake Barry,1
Lake Gilbertton,1
Lake Judithshire,1
Lake Kaitlynchester,1
Lake Madisonmouth,1
Lake Vernon,1
Lynnfort,1
Macdonaldtown,1
Mandyport,1
Maureenstad,1
Melanieside,1
New Antonio,1
New Marc,1
New Stuart,1
North Gregg,1
North Kristina,1
North Louiston,1
North Meredith,1
Ochoaport,1
Odomberg,1
Ortegaton,1
Port Alison,1
Port Donaldshire,1
Port Ethan,1
Port Gwendolyn,1
Port Lorrainemouth,1
Port Marissa,1
Port Maureenton,1
Port Noahland,1
Port Phillipstad,1
Prestonside,1
Ruthtown,1
South Kathy,1
South Kelli,1
South Kirkfurt,1
South Tanner,1
South Veronicaton,1
Spencertown,1
Stanleyside,1
Stokesmouth,1
Tapiahaven,1
Toniport,1
Travisfurt,1
Vickiton,1
Vincentland,1
West Bryce,1
West Ninaburgh,1
West Tonya,1
Williamsontown,1
American Samoa,76
Adamside,1
Adamsshire,1
Amyside,1
Bairdside,1
Bethside,1
Billland,1
Billville,1
Bruceberg,1
Bullocktown,1
Campbellland,1
Cesarbury,1
Dannymouth,1
Dustinhaven,1
East Angieside,1
East Howard,1
East Kerry,1
East Monique,1
East Patriciafort,1
Francisstad,1
Garrettmouth,1
Ginaville,1
Greerchester,1
Greggfort,1
Harmonbury,1
Hollandburgh,1
Hurleystad,1
Jaclynchester,1
Jennyfurt,1
Lake Allison,1
Lake Pedrofort,1
Lake Rachael,1
Lake Wendystad,1
Lindaton,1
Luceromouth,1
Margarettown,1
Marisafort,1
Mejiahaven,1
Meltonstad,1
Mindyside,1
Mollybury,1
Monroeton,1
Nashview,1
New Belinda,1
New Jaime,1
New Kimberly,1
New Nicolasborough,1
New Nicolasmouth,1
New Steveborough,1
Newmanbury,1
North Collinstad,1
North Georgeburgh,1
North Joel,1
North Stefanie,1
North Tracyside,1
North Vincent,1
Ochoaton,1
Pattonfort,1
Petersport,1
Port Andres,1
Port Elijah,1
